r,J
-0.0036315365788411325,82.36566445125162
-0.0035066410858564287,81.9675371541125
-0.003381745592871725,81.57241135582926
-0.0032568500998870218,81.18025534378135
-0.0031319546069023185,80.79103776306191
-0.003007059113917615,80.40472763006471
-0.002882163620932911,80.02129434661714
-0.002757268127948208,79.64070771401475
-0.0026323726349635045,79.26293794631364
-0.0025074771419788013,78.88795568225908
-0.002382581648994098,78.51573199527664
-0.0022576861560093947,78.14623840101265
-0.0021327906630246914,77.77944686199584
-0.002007895170039988,77.4153297890873
-0.0018829996770552849,77.05386003949309
-0.0017581041840705816,76.6950109112289
-0.001633208691085878,76.33875613404525
-0.0015083131981011742,75.98506985693767
-0.0013834177051164705,75.63392663248041
-0.0012585222121317668,75.28530139832752
-0.001133626719147063,74.93916945631665
-0.0010087312261623594,74.59550644969067
-0.0008838357331776557,74.25428833901324
-0.000758940240192952,73.9154913773977
-0.0006340447472082482,73.57909208568984
-0.0005091492542235445,73.24506722824887
-0.0003842537612388408,72.91339378995227
-0.0002593582682541371,72.5840489550117
-0.0001344627752694334,72.25701008813311
-9.567282284729701e-06,71.93225471848085
0.000115328210699974,71.60976052682207
0.00024022370368467771,71.28950533613023
0.000365119196669381,70.97146710582389
0.0004900146896540843,70.65562392970901
0.0006149101826387875,70.34195403758392
0.0007398056756234908,70.03043580036005
0.0008647011686081941,69.7210477384502
0.0009895966615928974,69.41376853308455
0.0011144921545776006,69.10857704013215
0.001239387647562304,68.8054523059388
0.0013642831405470072,68.50437358463836
0.0014891786335317105,68.20532035635891
0.0016140741265164137,67.90827234572451
0.001738969619501117,67.61320954005264
0.0018638651124858203,67.32011220666102
0.0019887606054705236,67.02896090873
0.002113656098455227,66.73973651921237
0.00223855159143993,66.45242023234275
0.002363447084424634,66.16699357237032
0.0024883425774093375,65.88343839921893
0.0026132380703940412,65.60173691086737
0.002738133563378745,65.32187164233335
0.0028630290563634486,65.04382546123902
0.0029879245493481523,64.76758156002892
0.003112820042332856,64.49312344499977
0.0032377155353175598,64.22043492238544
0.0033626110283022635,63.94950008181558
